price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,Access to shopping malls,access to schools,hospitals nearby,restuarants nearby,Property age housin,crimerates,place of worship
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,5,9,7,7,2,low ,4
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,5,8,6,7,3,high,6
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,4,9,9,8,2,low ,9
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,1,4,9,4,3,high,7
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,6,4,4,6,2,high,7
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,5,4,9,9,2,low ,1
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,7,4,1,7,2,high,2
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,9,7,3,7,0,low ,2
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,5,7,5,6,2,high,1
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,3,8,7,9,1,low ,1
9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,7,4,4,9,2,high,1
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,1,6,8,4,2,high,3
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,7,9,1,9,1,low ,5
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,8,7,6,4,2,low ,7
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,8,7,5,7,0,high,4
9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,9,6,5,5,2,high,1
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,9,9,7,3,1,low ,8
8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,8,9,4,4,2,low ,4
8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,0,4,8,7,2,low ,6
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,1,9,1,5,1,low ,9
8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,7,4,8,3,2,low ,7
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,8,7,4,6,2,low ,7
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,9,5,6,7,1,high,1
8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished,4,3,9,4,1,low ,2
8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished,4,4,7,3,2,high,2
8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,4,7,7,6,2,low ,1
8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,4,5,1,7,0,low ,1
8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished,7,3,2,9,1,low ,1
8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,7,6,2,6,2,low ,3
8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,8,7,1,3,1,high,5
8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished,4,4,1,1,2,high,7
8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,6,3,1,3,2,low ,4
8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished,9,6,3,5,1,low ,5
8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,7,7,5,7,1,low ,4
8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished,7,9,7,4,1,low ,1
8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished,6,6,4,8,2,high,3
8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished,9,3,1,7,1,high,1
7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished,9,1,8,7,2,low ,6
7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,4,3,4,8,2,high,9
7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,9,5,6,4,1,low ,2
7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished,4,7,9,6,0,high,7
7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished,7,4,7,9,0,high,4
7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished,5,8,7,7,2,low ,8
7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished,3,7,1,7,2,high,3
7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished,4,4,2,6,1,low ,4
7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished,7,7,2,9,0,high,7
7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished,5,9,1,9,1,low ,5
7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished,3,6,1,4,3,high,3
7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished,6,3,1,9,1,high,4
7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,7,1,3,4,0,low ,7
7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished,4,3,5,7,1,low ,5
7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished,3,5,7,5,1,high,3
7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished,6,7,4,3,1,high,6
7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished,7,4,5,4,2,low ,7
7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished,9,8,4,7,1,low ,4
7350000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished,6,1,1,5,1,low ,3
7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished,3,6,3,3,1,low ,6
7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished,1,5,1,6,1,high,7
7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished,3,7,6,7,1,low ,9
7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished,5,9,9,4,1,high,6
7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished,7,5,2,3,1,high,3
7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished,4,3,7,6,1,low ,1
7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished,8,7,4,7,1,high,3
7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished,7,1,8,9,2,low ,5
7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished,4,7,3,6,1,high,7
6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished,6,8,6,3,1,low ,4
6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished,4,8,2,7,1,high,8
6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished,4,9,8,7,2,high,7
6860000,6000,3,1,1,yes,no,no,no,yes,1,no,furnished,2,9,2,8,1,low ,7
6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished,4,8,9,4,2,low ,8
6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,7,9,0,6,0,high,4
6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished,4,4,3,9,0,high,6
6720000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished,7,4,7,7,0,low ,9
6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished,6,4,3,7,1,low ,7
6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished,7,4,1,6,8,low ,7
6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished,7,7,2,9,4,low ,6
6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished,9,7,5,9,6,high,9
6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished,0,8,1,4,9,low ,9
6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,7,4,4,9,7,high,4
6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished,5,6,2,4,7,high,9
6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished,2,9,7,7,1,low ,4
6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,2,7,4,5,2,high,7
6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished,7,7,8,3,2,low ,5
6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,4,6,3,4,1,high,3
6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished,6,9,6,7,1,low ,4
6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished,7,9,2,5,1,high,7
6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,8,4,8,3,3,high,5
6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished,5,9,2,6,5,low ,3
6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,5,4,9,7,7,low ,6
6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished,4,7,0,4,4,high,7
6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,1,5,3,3,5,high,4
6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished,6,3,7,6,4,low ,3
6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished,5,4,3,7,1,low ,6
6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished,7,7,1,9,3,low ,7
6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished,9,5,2,6,1,high,9
6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,5,3,5,3,6,low ,6
6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished,3,6,1,1,9,high,3
6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,7,7,4,3,2,low ,7
6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished,1,4,4,5,7,low ,5
6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished,7,3,6,7,4,high,3
6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished,8,6,9,4,8,low ,6
6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished,8,7,7,8,3,low ,7
6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished,9,9,7,7,6,high,4
6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished,9,6,1,4,2,low ,3
6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished,8,3,2,7,8,low ,6
6160000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished,0,1,2,9,2,low ,7
6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,1,3,1,6,9,low ,9
6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,7,5,1,3,0,low ,6
6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished,8,7,1,1,3,high,3
6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished,9,4,3,3,7,low ,1
6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,4,8,5,5,3,high,3
6090000,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished,4,7,7,7,1,low ,5
6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished,4,4,4,4,2,high,7
6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished,4,7,5,8,5,low ,4
6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished,7,9,4,1,1,low ,8
6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,7,6,1,6,4,high,7
6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished,8,3,3,5,2,high,4
5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished,4,1,1,7,7,low ,6
5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished,6,3,6,9,4,low ,4
5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,9,5,9,3,8,low ,4
5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,7,7,2,1,3,high,2
5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,7,4,7,2,6,low ,4
5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,6,8,4,5,2,high,7
5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished,9,1,8,1,8,high,4
5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished,9,6,3,4,2,low ,7
5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,4,5,6,4,9,high,6
5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,9,7,2,6,0,low ,7
5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished,4,9,8,9,3,high,7
5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished,7,5,2,7,7,low ,9
5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,5,3,9,7,3,high,0
5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished,3,7,0,1,1,high,7
5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished,4,1,3,2,2,low ,5
5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,7,7,7,2,5,low ,2
5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished,5,8,3,1,1,high,2
5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,3,8,1,1,4,high,7
5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished,6,9,2,1,0,low ,4
5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished,7,9,5,3,2,low ,6
5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished,4,8,1,5,1,low ,7
5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,3,9,4,7,0,low ,8
5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,6,4,2,4,2,low ,5
5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished,7,4,7,5,0,low ,5
5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,9,4,4,4,1,high,4
5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished,6,4,8,1,1,low ,1
5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished,3,7,3,3,0,high,6
5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished,1,7,6,1,1,low ,5
5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished,3,8,2,6,0,low ,7
5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished,5,4,8,9,1,low ,9
5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished,7,6,2,2,1,low ,5
5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished,4,9,9,7,0,high,3
5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished,8,7,0,4,0,high,7
5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,7,7,3,8,0,low ,1
5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished,4,6,7,3,2,low ,7
5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished,6,9,3,6,0,low ,8
5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished,4,9,1,3,0,low ,8
5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished,4,4,2,1,2,high,9
5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,2,9,5,2,2,high,9
5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,4,4,1,5,0,high,8
5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished,7,7,4,1,1,high,0
5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished,4,5,1,4,2,low ,3
5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished,7,3,6,4,0,high,1
5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished,6,4,5,6,0,low ,2
5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,7,7,5,9,0,low ,5
5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,7,5,7,7,0,high,1
5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,9,3,4,7,0,high,4
5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,0,6,8,1,1,low ,4
5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished,7,7,1,2,0,low ,6
5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished,5,4,8,2,2,low ,9
5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,2,3,4,1,2,high,7
5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,2,6,6,1,0,low ,7
5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished,7,7,9,1,0,high,1
5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,4,9,7,3,0,high,2
5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,6,6,7,5,1,low ,2
5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,7,3,1,7,2,high,1
5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished,8,1,2,4,0,low ,1
5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,5,3,2,5,1,high,1
5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,5,5,1,4,2,low ,3
5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished,4,7,1,1,2,high,5
